STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
DO4OSS-14;T1231063;2022-03-12 19:19:51;52.4597;10.9096;305;31;206;Clb=-8.2m/s t=7.0C h=25.1% p=1001.2hPa 405.700 MHz Type=RS41-SGP ser=T1231063 Radiosonde
DO4OSS-14;T1231063;2022-03-12 19:19:20;52.4586;10.9117;313;44;347;Clb=-9.6m/s t=6.4C h=25.0% p=984.1hPa 405.700 MHz Type=RS41-SGP ser=T1231063 Radiosonde
DO4OSS-14;T1231063;2022-03-12 19:18:49;52.4555;10.9158;326;48;637;Clb=-8.5m/s t=5.0C h=24.7% p=949.7hPa 405.700 MHz Type=RS41-SGP ser=T1231063 Radiosonde
THATR2-14;T1231063;2022-03-12 19:18:28;52.4532;10.9176;343;41;829;Clb=-9.2m/s p=927.8hPa t=4.3C h=24.7% 405.70MHz Type=RS41-SGP TxOff=2h29m batt=2.6V Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:18:21;52.4527;10.9179;345;37;882;Clb=-8.9m/s p=921.9hPa t=3.9C h=25.2% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DO4OSS-14;T1231063;2022-03-12 19:18:18;52.4525;10.918;342;35;898;Clb=-8.1m/s t=3.8C h=25.1% p=920.1hPa 405.700 MHz Type=RS41-SGP ser=T1231063 Radiosonde
THATR2-14;T1231063;2022-03-12 19:18:15;52.4521;10.9182;349;39;927;Clb=-7.1m/s p=916.4hPa t=3.5C h=25.7% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:18:09;52.4515;10.9183;353;37;970;Clb=-8.3m/s p=911.8hPa t=3.1C h=26.3% 405.70MHz Type=RS41-SGP TxOff=2h29m batt=2.5V Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:18:03;52.451;10.9184;355;35;1017;Clb=-8.2m/s p=906.3hPa t=2.9C h=24.9% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:17:57;52.4505;10.9185;355;33;1060;Clb=-7.4m/s p=901.5hPa t=2.9C h=22.5% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:17:51;52.45;10.9186;355;30;1103;Clb=-7.4m/s p=896.7hPa t=3.0C h=19.7% 405.70MHz Type=RS41-SGP TxOff=2h29m batt=2.5V Details zu http://radiosondy.info
DO4OSS-14;T1231063;2022-03-12 19:17:47;52.4498;10.9186;351;30;1124;Clb=-8.0m/s t=3.3C h=17.5% p=894.4hPa 405.700 MHz Type=RS41-SGP ser=T1231063 Radiosonde
THATR2-14;T1231063;2022-03-12 19:17:45;52.4496;10.9187;348;24;1147;Clb=-6.7m/s p=891.8hPa t=3.9C h=13.7% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DL2LAY-13;T1231063;2022-03-12 19:17:40;52.4493;10.9188;346;24;1172;Clb=-6.8m/s p=888.9hPa t=4.7C 405.70MHz Type=RS41-SGP
THATR2-14;T1231063;2022-03-12 19:17:39;52.4492;10.9188;344;24;1185;Clb=-6.5m/s p=887.6hPa t=4.9C h=8.6% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:17:34;52.449;10.919;342;24;1213;Clb=-6.4m/s p=884.6hPa t=5.5C h=7.2% 405.70MHz Type=RS41-SGP TxOff=2h30m batt=2.6V Details zu http://radiosondy.info
DL2LAY-13;T1231063;2022-03-12 19:17:30;52.4488;10.9191;346;26;1243;Clb=-7.3m/s p=881.6hPa t=6.5C 405.70MHz Type=RS41-SGP TxOff=2h30m batt=2.6V powerup=3h03m35s sondemod 1.36e
THATR2-14;T1231063;2022-03-12 19:17:28;52.4486;10.9191;345;24;1256;Clb=-5.9m/s p=879.8hPa t=6.5C h=6.3% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:17:22;52.4483;10.9193;345;28;1296;Clb=-6.8m/s p=875.7hPa t=6.3C h=6.6% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DL2LAY-13;T1231063;2022-03-12 19:17:20;52.4481;10.9194;346;30;1309;Clb=-6.5m/s p=874.2hPa t=6.2C 405.70MHz Type=RS41-SGP
THATR2-14;T1231063;2022-03-12 19:17:16;52.4478;10.9195;346;30;1338;Clb=-7.0m/s p=871.1hPa t=5.9C h=6.8% 405.70MHz Type=RS41-SGP TxOff=2h30m batt=2.6V Details zu http://radiosondy.info
DL2LAY-13;T1231063;2022-03-12 19:17:10;52.4474;10.9197;337;33;1383;Clb=-6.7m/s p=866.3hPa t=5.6C 405.70MHz Type=RS41-SGP powerup=3h03m15s sondemod 1.36e
DM3MS-14;T1231063;2022-03-12 19:17:05;52.447;10.9199;343;35;1419;Clb=-6.2m/s t=6.1C 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:17:04;52.4469;10.92;344;37;1426;Clb=-6.0m/s p=861.7hPa t=5.2C h=7.2% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DM3MS-14;T1231063;2022-03-12 19:17:00;52.4466;10.9202;335;39;1457;Clb=-10.0m/s t=5.9C 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:16:58;52.4464;10.9203;335;39;1476;Clb=-8.5m/s p=856.8hPa t=4.9C h=7.6% 405.70MHz Type=RS41-SGP TxOff=2h30m batt=2.5V Details zu http://radiosondy.info
DM3MS-14;T1231063;2022-03-12 19:16:55;52.4461;10.9205;336;41;1501;Clb=-6.8m/s t=5.4C 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:16:52;52.4459;10.9207;337;43;1524;Clb=-7.6m/s p=851.6hPa t=4.4C h=7.8% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DM3MS-14;T1231063;2022-03-12 19:16:50;52.4457;10.9208;335;44;1537;Clb=-6.8m/s t=5.2C 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:16:46;52.4453;10.9212;330;46;1563;Clb=-6.6m/s p=847.3hPa t=4.1C h=8.1% 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DM3MS-14;T1231063;2022-03-12 19:16:45;52.4452;10.9213;328;46;1570;Clb=-6.9m/s t=5.0C 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DM3MS-14;T1231063;2022-03-12 19:16:40;52.4447;10.9218;326;48;1602;Clb=-5.6m/s t=4.8C 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
THATR2-14;T1231063;2022-03-12 19:16:38;52.4444;10.9221;330;50;1622;Clb=-6.1m/s p=841.5hPa t=3.8C h=9.6% 405.70MHz Type=RS41-SGP TxOff=2h31m batt=2.6V Details zu http://radiosondy.info
DM3MS-14;T1231063;2022-03-12 19:16:35;52.4442;10.9223;330;50;1634;Clb=-6.6m/s t=4.6C 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
DL2LAY-13;T1231063;2022-03-12 19:16:30;52.4437;10.9229;322;52;1669;Clb=-6.2m/s p=836.7hPa t=3.8C 405.70MHz Type=RS41-SGP TxOff=2h31m batt=2.6V powerup=3h02m35s sondemod 1.36e
DM3MS-14;T1231063;2022-03-12 19:16:25;52.4432;10.9236;323;52;1703;Clb=-7.1m/s t=4.5C 405.70MHz Type=RS41-SGP Details zu http://radiosondy.info
